gene,transcript,protein
FBgn0029161.1,FBtr0079217.1,FBpp0078848.1
FBgn0085208.1,FBtr0299809.1,FBpp0289087.1
FBgn0085208.1,FBtr0344625.1,FBpp0310946.1
FBgn0085208.1,FBtr0112372.1,FBpp0111287.1
FBgn0031768.1,FBtr0079183.1,FBpp0078814.1
FBgn0031768.1,FBtr0079184.1,FBpp0078815.1
FBgn0031768.1,FBtr0343120.1,FBpp0309820.1
FBgn0031769.1,FBtr0346135.1,FBpp0311963.1
FBgn0031769.1,FBtr0079186.1,FBpp0078817.1
FBgn0031769.1,FBtr0343121.1,FBpp0309821.1
FBgn0031769.1,FBtr0079185.1,FBpp0078816.1
FBgn0031770.1,FBtr0079187.1,FBpp0078818.1
FBgn0085209.1,FBtr0300048.1,FBpp0289325.1
FBgn0031771.1,FBtr0079216.1,FBpp0078847.1
FBgn0031771.1,FBtr0343129.1,FBpp0309828.1
FBgn0031772.1,FBtr0343122.1,FBpp0309822.1
FBgn0031772.1,FBtr0079188.1,FBpp0078819.1
FBgn0031773.1,FBtr0079215.1,FBpp0078846.1
FBgn0031774.1,FBtr0343124.1,FBpp0309824.1
FBgn0031774.1,FBtr0343123.1,FBpp0309823.1
FBgn0031774.1,FBtr0079189.1,FBpp0078820.1
FBgn0031774.1,FBtr0079190.1,FBpp0078821.1
FBgn0031775.1,FBtr0302213.1,FBpp0291423.1
FBgn0031776.1,FBtr0079191.1,FBpp0078822.1
FBgn0031776.1,FBtr0343125.1,FBpp0309825.1
FBgn0031777.1,FBtr0079213.1,FBpp0078844.1
FBgn0031777.1,FBtr0343128.1,FBpp0309827.1
FBgn0266449.1,FBtr0079192.1,FBpp0078823.1
FBgn0266449.1,FBtr0343126.1,FBpp0309826.1
FBgn0266449.1,FBtr0302212.1,FBpp0291422.1
FBgn0264345.1,FBtr0332010.1,
FBgn0031778.1,FBtr0308942.1,
FBgn0265999.1,FBtr0343127.1,
FBgn0266450.1,FBtr0344437.1,FBpp0310809.1
FBgn0266450.1,FBtr0344438.1,FBpp0310810.1
FBgn0266445.1,FBtr0344439.1,FBpp0310811.1
FBgn0031779.1,FBtr0079212.1,FBpp0078843.1
FBgn0031779.1,FBtr0079211.1,FBpp0078842.1
FBgn0266521.1,FBtr0333406.1,FBpp0305598.1
FBgn0266521.1,FBtr0079196.1,FBpp0078827.1
FBgn0266521.1,FBtr0079198.1,FBpp0078829.1
FBgn0266521.1,FBtr0079197.1,FBpp0078828.1
FBgn0266521.1,FBtr0304908.1,FBpp0293447.1
FBgn0051642.1,FBtr0079199.1,FBpp0078830.1
FBgn0031781.1,FBtr0079200.1,FBpp0078831.1
FBgn0031782.1,FBtr0346267.1,FBpp0312024.1
FBgn0031782.1,FBtr0333407.1,FBpp0305599.1
FBgn0261683.1,FBtr0303078.1,FBpp0292197.1
FBgn0261697.1,FBtr0303079.1,FBpp0292198.1
FBgn0031784.1,FBtr0079201.1,FBpp0078832.1
FBgn0267283.1,FBtr0346500.1,
FBgn0266071.1,FBtr0343398.1,
FBgn0031785.1,FBtr0079202.1,FBpp0078833.1
FBgn0040950.1,FBtr0079203.1,FBpp0078834.1
FBgn0051639.1,FBtr0079208.1,FBpp0078839.1
FBgn0051639.1,FBtr0079207.1,FBpp0078838.1
FBgn0031786.1,FBtr0079204.1,FBpp0078835.1
FBgn0085409.1,FBtr0112617.1,FBpp0111529.1
FBgn0085409.1,FBtr0329979.1,FBpp0303014.1
FBgn0085409.1,FBtr0329980.1,FBpp0303015.1
FBgn0026755.1,FBtr0079242.1,FBpp0078872.1
FBgn0266070.1,FBtr0343397.1,
FBgn0053531.1,FBtr0344770.1,FBpp0311099.1
FBgn0053531.1,FBtr0340169.1,FBpp0309154.1
FBgn0053531.1,FBtr0344771.1,FBpp0311100.1
FBgn0031791.1,FBtr0340167.1,FBpp0309152.1
FBgn0031791.1,FBtr0079243.1,FBpp0078873.1
FBgn0031792.1,FBtr0079285.1,FBpp0078915.1
FBgn0261699.1,FBtr0333241.1,
FBgn0264543.1,FBtr0333243.1,FBpp0305444.1
FBgn0260452.1,FBtr0079247.1,FBpp0078877.1
FBgn0265778.1,FBtr0300039.1,FBpp0289316.1
FBgn0265778.1,FBtr0333242.1,FBpp0305443.1
FBgn0265778.1,FBtr0300038.1,FBpp0289315.1
FBgn0265778.1,FBtr0079249.1,FBpp0078879.1
FBgn0031799.1,FBtr0079284.1,FBpp0078914.1
FBgn0031799.1,FBtr0331226.1,FBpp0303668.1
FBgn0015623.1,FBtr0079250.1,FBpp0078880.1
FBgn0015623.1,FBtr0331224.1,FBpp0303666.1
FBgn0015623.1,FBtr0331223.1,FBpp0303665.1
FBgn0015623.1,FBtr0079251.1,FBpp0078881.1
FBgn0031800.1,FBtr0331225.1,FBpp0303667.1
FBgn0031800.1,FBtr0079283.1,FBpp0078913.1
FBgn0031801.1,FBtr0079282.1,FBpp0078912.1
FBgn0031802.1,FBtr0079281.1,FBpp0078911.1
FBgn0031803.1,FBtr0346719.1,FBpp0312330.1
FBgn0031804.1,FBtr0079280.1,FBpp0078910.1
FBgn0266003.1,FBtr0343154.1,
FBgn0266003.1,FBtr0343153.1,
FBgn0266004.1,FBtr0343150.1,
FBgn0031805.1,FBtr0079253.1,FBpp0078883.1
FBgn0043854.1,FBtr0290281.1,FBpp0288720.1
FBgn0043854.1,FBtr0344864.1,FBpp0311179.1
FBgn0259714.1,FBtr0299967.1,FBpp0289244.1
FBgn0031808.1,FBtr0079255.1,FBpp0078885.1
FBgn0259716.1,FBtr0299969.1,FBpp0289246.1
FBgn0259715.1,FBtr0299968.1,FBpp0289245.1
FBgn0031811.1,FBtr0343151.1,FBpp0309849.1
FBgn0031811.1,FBtr0079256.1,FBpp0078886.1
FBgn0011722.1,FBtr0343152.1,FBpp0309850.1
FBgn0011722.1,FBtr0079275.1,FBpp0078905.1
FBgn0263278.1,FBtr0079257.1,FBpp0078887.1
FBgn0031813.1,FBtr0345720.1,FBpp0311763.1
FBgn0031813.1,FBtr0329952.1,FBpp0302984.1
FBgn0031813.1,FBtr0114603.1,FBpp0113095.1
FBgn0031813.1,FBtr0089948.1,FBpp0088887.1
FBgn0031814.1,FBtr0339788.1,FBpp0308835.1
FBgn0031814.1,FBtr0329951.1,FBpp0302983.1
FBgn0031814.1,FBtr0079272.1,FBpp0078902.1
FBgn0031815.1,FBtr0079259.1,FBpp0078889.1
FBgn0031815.1,FBtr0079258.1,FBpp0078888.1
FBgn0031816.1,FBtr0079271.1,FBpp0078901.1
FBgn0031816.1,FBtr0331186.1,FBpp0303613.1
FBgn0031817.1,FBtr0079270.1,FBpp0078900.1
FBgn0031817.1,FBtr0331185.1,FBpp0303612.1
FBgn0259749.1,FBtr0079269.1,FBpp0078899.1
FBgn0259749.1,FBtr0339787.1,FBpp0308834.1
FBgn0259749.1,FBtr0079268.1,FBpp0078898.1
FBgn0031818.1,FBtr0303229.1,FBpp0292321.1
FBgn0031818.1,FBtr0079267.1,FBpp0078897.1
FBgn0086357.1,FBtr0345753.1,FBpp0311774.1
FBgn0086357.1,FBtr0079266.1,FBpp0078896.1
FBgn0267019.1,FBtr0345975.1,
FBgn0031820.1,FBtr0344764.1,FBpp0311092.1
FBgn0031820.1,FBtr0079260.1,FBpp0078890.1
FBgn0031821.1,FBtr0339785.1,FBpp0308832.1
FBgn0031821.1,FBtr0079265.1,FBpp0078895.1
FBgn0027496.1,FBtr0079261.1,FBpp0078891.1
FBgn0031822.1,FBtr0079264.1,FBpp0078894.1
FBgn0051638.1,FBtr0079262.1,FBpp0078892.1
FBgn0051638.1,FBtr0113411.1,FBpp0112323.1
FBgn0031824.1,FBtr0079263.1,FBpp0078893.1
FBgn0031826.1,FBtr0079286.1,FBpp0078916.1
FBgn0051637.1,FBtr0079287.1,FBpp0078917.1
FBgn0051637.1,FBtr0343155.1,FBpp0309851.1
FBgn0266001.1,FBtr0343164.1,
FBgn0000320.1,FBtr0079335.1,FBpp0078964.1
FBgn0000320.1,FBtr0306113.1,FBpp0297250.1
FBgn0000320.1,FBtr0079334.1,FBpp0078963.1
FBgn0266002.1,FBtr0343156.1,
FBgn0031829.1,FBtr0079333.1,FBpp0078962.1
FBgn0031830.1,FBtr0079288.1,FBpp0078918.1
FBgn0031830.1,FBtr0343157.1,FBpp0309852.1
FBgn0031832.1,FBtr0343162.1,FBpp0309857.1
FBgn0031832.1,FBtr0079332.1,FBpp0078961.1
FBgn0031832.1,FBtr0343163.1,FBpp0309858.1
FBgn0031831.1,FBtr0079289.1,FBpp0078919.1
FBgn0263916.1,FBtr0343158.1,FBpp0309853.1
FBgn0263916.1,FBtr0079290.1,FBpp0078920.1
FBgn0031834.1,FBtr0343161.1,FBpp0309856.1
FBgn0031834.1,FBtr0079330.1,FBpp0078959.1
FBgn0031835.1,FBtr0343160.1,FBpp0309855.1
FBgn0031835.1,FBtr0089641.1,FBpp0088584.1
FBgn0031835.1,FBtr0343159.1,FBpp0309854.1
FBgn0031836.1,FBtr0079291.1,FBpp0078921.1
FBgn0031836.1,FBtr0079292.1,FBpp0078922.1
FBgn0031836.1,FBtr0079293.1,FBpp0078923.1
FBgn0031837.1,FBtr0113026.1,FBpp0111939.1
FBgn0266218.1,FBtr0343863.1,
FBgn0085374.1,FBtr0112553.1,FBpp0111465.1
FBgn0051634.1,FBtr0079327.1,FBpp0078956.1
FBgn0051635.1,FBtr0331187.1,FBpp0303614.1
FBgn0051635.1,FBtr0331191.1,FBpp0303618.1
FBgn0051635.1,FBtr0113410.1,FBpp0112322.1
FBgn0051635.1,FBtr0331192.1,FBpp0303619.1
FBgn0051635.1,FBtr0331190.1,FBpp0303617.1
FBgn0051635.1,FBtr0331188.1,FBpp0303615.1
FBgn0051635.1,FBtr0331189.1,FBpp0303616.1
FBgn0051635.1,FBtr0079326.1,FBpp0078955.1
FBgn0031842.1,FBtr0343864.1,FBpp0310403.1
FBgn0031842.1,FBtr0079295.1,FBpp0078925.1
FBgn0031842.1,FBtr0303224.1,FBpp0292316.1
FBgn0051633.1,FBtr0079325.1,FBpp0078954.1
FBgn0051636.1,FBtr0343865.1,FBpp0310404.1
FBgn0051636.1,FBtr0079324.1,FBpp0078953.1
FBgn0028467.1,FBtr0079297.1,FBpp0078927.1
FBgn0031844.1,FBtr0079323.1,FBpp0078952.1
FBgn0031844.1,FBtr0333517.1,FBpp0305697.1
FBgn0085339.1,FBtr0346453.1,FBpp0312103.1
FBgn0085339.1,FBtr0333516.1,FBpp0305696.1
FBgn0085339.1,FBtr0112506.1,FBpp0111419.1
FBgn0000392.1,FBtr0346452.1,FBpp0312102.1
FBgn0000392.1,FBtr0290322.1,FBpp0288761.1
FBgn0263200.1,FBtr0079322.1,FBpp0078951.1
FBgn0263200.1,FBtr0333352.1,FBpp0305544.1
FBgn0028990.1,FBtr0333351.1,FBpp0305543.1
FBgn0028990.1,FBtr0079321.1,FBpp0078950.1
FBgn0000351.1,FBtr0079320.1,FBpp0078949.1
FBgn0000351.1,FBtr0333350.1,FBpp0305542.1
FBgn0031848.1,FBtr0333349.1,FBpp0305541.1
FBgn0031848.1,FBtr0079319.1,FBpp0078948.1
FBgn0028703.1,FBtr0300327.1,FBpp0289556.1
FBgn0028703.1,FBtr0333348.1,FBpp0305540.1
FBgn0028703.1,FBtr0273247.1,FBpp0271755.1
FBgn0028703.1,FBtr0273250.1,FBpp0271758.1
FBgn0028703.1,FBtr0273248.1,FBpp0271756.1
FBgn0028703.1,FBtr0333347.1,FBpp0305539.1
FBgn0031849.1,FBtr0079315.1,FBpp0078944.1
FBgn0031850.1,FBtr0114488.1,FBpp0112980.1
FBgn0031850.1,FBtr0114489.1,FBpp0112981.1
FBgn0031850.1,FBtr0079312.1,FBpp0078941.1
FBgn0031850.1,FBtr0336751.1,FBpp0307727.1
FBgn0031850.1,FBtr0079311.1,FBpp0078940.1
FBgn0031850.1,FBtr0079314.1,FBpp0078943.1
FBgn0031850.1,FBtr0079313.1,FBpp0078942.1
FBgn0025595.1,FBtr0079310.1,FBpp0089220.1
FBgn0025595.1,FBtr0079309.1,FBpp0078939.1
FBgn0025595.1,FBtr0079308.1,FBpp0078938.1
FBgn0025595.1,FBtr0332331.1,FBpp0304609.1
FBgn0031851.1,FBtr0079299.1,FBpp0078929.1
FBgn0025777.1,FBtr0329892.1,FBpp0302926.1
FBgn0025777.1,FBtr0079307.1,FBpp0078937.1
FBgn0025777.1,FBtr0333346.1,FBpp0305538.1
FBgn0025777.1,FBtr0329893.1,FBpp0302927.1
FBgn0025777.1,FBtr0332330.1,FBpp0304608.1
FBgn0025777.1,FBtr0079306.1,FBpp0078936.1
FBgn0046704.1,FBtr0329941.1,FBpp0302973.1
FBgn0046704.1,FBtr0329942.1,FBpp0302974.1
FBgn0046704.1,FBtr0329943.1,FBpp0302975.1
FBgn0046704.1,FBtr0079301.1,FBpp0078931.1
FBgn0046704.1,FBtr0079300.1,FBpp0078930.1
FBgn0031853.1,FBtr0300056.1,FBpp0289333.1
FBgn0031854.1,FBtr0079305.1,FBpp0078935.1
FBgn0031855.1,FBtr0339237.1,FBpp0308344.1
FBgn0031855.1,FBtr0079303.1,FBpp0078933.1
FBgn0051910.1,FBtr0079304.1,FBpp0078934.1
FBgn0086034.1,FBtr0114310.1,
FBgn0265257.1,FBtr0339238.1,FBpp0308345.1
FBgn0031856.1,FBtr0290242.1,FBpp0288681.1
FBgn0031857.1,FBtr0331218.1,FBpp0303660.1
FBgn0031857.1,FBtr0331221.1,FBpp0303663.1
FBgn0031857.1,FBtr0331220.1,FBpp0303662.1
FBgn0031857.1,FBtr0331216.1,FBpp0303658.1
FBgn0031857.1,FBtr0331219.1,FBpp0303661.1
FBgn0031857.1,FBtr0290295.1,FBpp0288734.1
FBgn0031857.1,FBtr0331217.1,FBpp0303659.1
FBgn0031857.1,FBtr0331222.1,FBpp0303664.1
FBgn0031857.1,FBtr0301972.1,FBpp0291182.1
FBgn0031858.1,FBtr0079336.1,FBpp0078965.1
FBgn0031858.1,FBtr0079337.1,FBpp0078966.1
FBgn0031858.1,FBtr0332335.1,FBpp0304612.1
FBgn0015776.1,FBtr0079384.1,FBpp0079012.1
FBgn0015776.1,FBtr0332370.1,FBpp0304646.1
FBgn0015777.1,FBtr0100382.1,FBpp0099794.1
FBgn0015777.1,FBtr0079382.1,FBpp0079010.1
FBgn0015777.1,FBtr0079383.1,FBpp0079011.1
FBgn0015777.1,FBtr0079381.1,FBpp0079009.1
FBgn0015777.1,FBtr0100381.1,FBpp0099793.1
FBgn0015777.1,FBtr0332369.1,FBpp0304645.1
FBgn0263585.1,FBtr0309811.1,
FBgn0051631.1,FBtr0079338.1,
FBgn0042189.1,FBtr0344141.1,FBpp0310555.1
FBgn0042189.1,FBtr0079379.1,FBpp0079007.1
FBgn0042189.1,FBtr0079380.1,FBpp0079008.1
FBgn0031859.1,FBtr0345445.1,FBpp0311569.1
FBgn0031859.1,FBtr0309815.1,FBpp0301562.1
FBgn0031859.1,FBtr0079377.1,FBpp0079005.1
FBgn0031859.1,FBtr0309814.1,FBpp0301561.1
FBgn0031860.1,FBtr0309812.1,FBpp0301559.1
FBgn0031860.1,FBtr0079339.1,FBpp0078967.1
FBgn0031861.1,FBtr0334841.1,FBpp0306866.1
FBgn0031861.1,FBtr0309813.1,FBpp0301560.1
FBgn0031861.1,FBtr0300821.1,FBpp0290045.1
FBgn0264890.1,FBtr0334840.1,
FBgn0051632.1,FBtr0345446.1,FBpp0311570.1
FBgn0051632.1,FBtr0079341.1,FBpp0078969.1
FBgn0017551.1,FBtr0079342.1,FBpp0078970.1
FBgn0086451.1,FBtr0079343.1,FBpp0078971.1
FBgn0031865.1,FBtr0079373.1,FBpp0079001.1
FBgn0031865.1,FBtr0079374.1,FBpp0079002.1
FBgn0266220.1,FBtr0343868.1,
FBgn0266219.1,FBtr0343866.1,
FBgn0266219.1,FBtr0345755.1,
FBgn0031866.1,FBtr0307033.1,FBpp0297876.1
FBgn0031866.1,FBtr0343867.1,FBpp0310405.1
FBgn0031866.1,FBtr0079344.1,FBpp0078972.1
FBgn0262205.1,FBtr0304243.1,
FBgn0262205.1,FBtr0304244.1,
FBgn0042092.1,FBtr0079372.1,FBpp0079000.1
FBgn0031868.1,FBtr0079345.1,FBpp0078973.1
FBgn0031868.1,FBtr0332324.1,FBpp0304602.1
FBgn0011737.1,FBtr0332329.1,FBpp0304607.1
FBgn0011737.1,FBtr0079371.1,FBpp0078999.1
FBgn0028554.1,FBtr0332328.1,FBpp0304606.1
FBgn0028554.1,FBtr0079368.1,FBpp0078996.1
FBgn0052829.1,FBtr0079370.1,FBpp0078998.1
FBgn0026196.1,FBtr0079369.1,FBpp0078997.1
FBgn0263467.1,FBtr0309766.1,
FBgn0004838.1,FBtr0079346.1,FBpp0078974.1
FBgn0004838.1,FBtr0307032.1,FBpp0297875.1
FBgn0004838.1,FBtr0301403.1,FBpp0290617.1
FBgn0004838.1,FBtr0307031.1,FBpp0297874.1
FBgn0004838.1,FBtr0307030.1,FBpp0297873.1
FBgn0004838.1,FBtr0079347.1,FBpp0078975.1
FBgn0004838.1,FBtr0079348.1,FBpp0078976.1
FBgn0004838.1,FBtr0301404.1,FBpp0290618.1
FBgn0262877.1,FBtr0306284.1,FBpp0297394.1
FBgn0262877.1,FBtr0347283.1,FBpp0312527.1
FBgn0031869.1,FBtr0306285.1,FBpp0297395.1
FBgn0031869.1,FBtr0332327.1,FBpp0304605.1
FBgn0031869.1,FBtr0332326.1,FBpp0304604.1
FBgn0031869.1,FBtr0079367.1,FBpp0078995.1
FBgn0031871.1,FBtr0332325.1,FBpp0304603.1
FBgn0031871.1,FBtr0079366.1,FBpp0078994.1
FBgn0031872.1,FBtr0079365.1,FBpp0078993.1
FBgn0031873.1,FBtr0079364.1,FBpp0078992.1
FBgn0020616.1,FBtr0079349.1,FBpp0078977.1
FBgn0031874.1,FBtr0343775.1,FBpp0310332.1
FBgn0031874.1,FBtr0343776.1,FBpp0310333.1
FBgn0031874.1,FBtr0079363.1,FBpp0078991.1
FBgn0031875.1,FBtr0079350.1,FBpp0078978.1
FBgn0031876.1,FBtr0079362.1,FBpp0078990.1
FBgn0031877.1,FBtr0343774.1,FBpp0310331.1
FBgn0031877.1,FBtr0079351.1,FBpp0078979.1
FBgn0031878.1,FBtr0079359.1,FBpp0078987.1
FBgn0031878.1,FBtr0079360.1,FBpp0078988.1
FBgn0031878.1,FBtr0079361.1,FBpp0078989.1
FBgn0031878.1,FBtr0079357.1,FBpp0078985.1
FBgn0031878.1,FBtr0079358.1,FBpp0078986.1
FBgn0021944.1,FBtr0346584.1,FBpp0312175.1
FBgn0021944.1,FBtr0079352.1,FBpp0078980.1
FBgn0264922.1,FBtr0079356.1,FBpp0078984.1
FBgn0264922.1,FBtr0346716.1,FBpp0312327.1
FBgn0016978.1,FBtr0331375.1,FBpp0303793.1
FBgn0016978.1,FBtr0079355.1,FBpp0078983.1
FBgn0262616.1,FBtr0305347.1,
FBgn0031879.1,FBtr0307073.1,FBpp0297916.1
FBgn0031879.1,FBtr0307074.1,FBpp0297917.1
FBgn0031879.1,FBtr0339664.1,FBpp0308723.1
FBgn0031879.1,FBtr0302162.1,FBpp0291372.1
FBgn0031879.1,FBtr0307072.1,FBpp0297915.1
FBgn0031879.1,FBtr0290119.1,FBpp0288558.1
FBgn0265414.1,FBtr0339662.1,
FBgn0263026.1,FBtr0306925.1,FBpp0297778.1
FBgn0263027.1,FBtr0306926.1,FBpp0297779.1
FBgn0000053.1,FBtr0339663.1,FBpp0308722.1
FBgn0000053.1,FBtr0079431.1,FBpp0079059.1
FBgn0000053.1,FBtr0100353.1,FBpp0099760.1
FBgn0003046.1,FBtr0079388.1,FBpp0079016.1
FBgn0051908.1,FBtr0345638.1,FBpp0311702.1
FBgn0051908.1,FBtr0079430.1,FBpp0079058.1
FBgn0051908.1,FBtr0079429.1,FBpp0079057.1
FBgn0031881.1,FBtr0079389.1,FBpp0079017.1
FBgn0031882.1,FBtr0079428.1,FBpp0079056.1
FBgn0031882.1,FBtr0079427.1,FBpp0079055.1
FBgn0031882.1,FBtr0079426.1,FBpp0079054.1
FBgn0031882.1,FBtr0309323.1,FBpp0301227.1
FBgn0031883.1,FBtr0344710.1,FBpp0311043.1
FBgn0031883.1,FBtr0344708.1,FBpp0311041.1
FBgn0031883.1,FBtr0089640.1,FBpp0088583.1
FBgn0031883.1,FBtr0344711.1,FBpp0311044.1
FBgn0031883.1,FBtr0344712.1,FBpp0311045.1
FBgn0031883.1,FBtr0344709.1,FBpp0311042.1
FBgn0031883.1,FBtr0089636.1,FBpp0088579.1
FBgn0262872.1,FBtr0306229.1,FBpp0297339.1
FBgn0262872.1,FBtr0306228.1,FBpp0297338.1
FBgn0262872.1,FBtr0306231.1,FBpp0297341.1
FBgn0262872.1,FBtr0306233.1,FBpp0297343.1
FBgn0262872.1,FBtr0306232.1,FBpp0297342.1
FBgn0262872.1,FBtr0306230.1,FBpp0297340.1
FBgn0031885.1,FBtr0110978.1,FBpp0110277.1
FBgn0031885.1,FBtr0079402.1,FBpp0079030.1
FBgn0031885.1,FBtr0079401.1,FBpp0079029.1
FBgn0051907.1,FBtr0344736.1,FBpp0311068.1
FBgn0051907.1,FBtr0079425.1,FBpp0079053.1
FBgn0266666.1,FBtr0079403.1,FBpp0079031.1
FBgn0031886.1,FBtr0079424.1,FBpp0079052.1
FBgn0031887.1,FBtr0289952.1,FBpp0288390.1
FBgn0031888.1,FBtr0079423.1,FBpp0079051.1
FBgn0265822.1,FBtr0342659.1,
FBgn0085407.1,FBtr0342658.1,FBpp0309572.1
FBgn0085407.1,FBtr0112612.1,FBpp0111524.1
FBgn0085407.1,FBtr0112611.1,FBpp0111523.1
FBgn0085407.1,FBtr0301525.1,FBpp0290740.1
FBgn0265823.1,FBtr0342653.1,
FBgn0265821.1,FBtr0342657.1,
FBgn0265824.1,FBtr0342656.1,
FBgn0031893.1,FBtr0079405.1,FBpp0079033.1
FBgn0031893.1,FBtr0113028.1,FBpp0111941.1
FBgn0031894.1,FBtr0079419.1,FBpp0079047.1
FBgn0031894.1,FBtr0342655.1,FBpp0309571.1
FBgn0031894.1,FBtr0342654.1,FBpp0309570.1
FBgn0031895.1,FBtr0302948.1,FBpp0292074.1
FBgn0031895.1,FBtr0079418.1,FBpp0079046.1
FBgn0031896.1,FBtr0079416.1,FBpp0079044.1
FBgn0031896.1,FBtr0079417.1,FBpp0079045.1
FBgn0031897.1,FBtr0330197.1,FBpp0303230.1
FBgn0031897.1,FBtr0330199.1,FBpp0303232.1
FBgn0031897.1,FBtr0110799.1,FBpp0110096.1
FBgn0031897.1,FBtr0330198.1,FBpp0303231.1
FBgn0031897.1,FBtr0079414.1,FBpp0079042.1
FBgn0263133.1,FBtr0079413.1,FBpp0079041.1
FBgn0266324.1,FBtr0344055.1,
FBgn0259111.1,FBtr0331658.1,FBpp0304048.1
FBgn0259111.1,FBtr0331664.1,FBpp0304054.1
FBgn0259111.1,FBtr0299539.1,FBpp0288814.1
FBgn0259111.1,FBtr0331662.1,FBpp0304052.1
FBgn0259111.1,FBtr0331659.1,FBpp0304049.1
FBgn0259111.1,FBtr0331661.1,FBpp0304051.1
FBgn0259111.1,FBtr0331663.1,FBpp0304053.1
FBgn0259111.1,FBtr0299537.1,FBpp0288812.1
FBgn0259111.1,FBtr0331660.1,FBpp0304050.1
FBgn0259111.1,FBtr0299538.1,FBpp0288813.1
FBgn0264343.1,FBtr0332003.1,FBpp0304325.1
FBgn0264344.1,FBtr0332004.1,FBpp0304326.1
FBgn0264344.1,FBtr0332005.1,FBpp0304327.1
FBgn0031900.1,FBtr0333353.1,FBpp0305545.1
FBgn0010453.1,FBtr0089291.1,FBpp0088345.1
FBgn0010453.1,FBtr0334799.1,FBpp0306845.1
FBgn0051909.1,FBtr0300460.1,FBpp0289687.1
FBgn0051909.1,FBtr0300459.1,FBpp0289686.1
FBgn0004009.1,FBtr0079432.1,FBpp0079060.1
FBgn0266842.1,FBtr0345570.1,
FBgn0031902.1,FBtr0334800.1,FBpp0306846.1
FBgn0031902.1,FBtr0303251.1,FBpp0292343.1
FBgn0031903.1,FBtr0303207.1,FBpp0292305.1
FBgn0264872.1,FBtr0334816.1,
FBgn0002938.1,FBtr0079436.1,FBpp0079064.1
FBgn0002938.1,FBtr0079437.1,FBpp0079065.1
FBgn0002938.1,FBtr0334836.1,FBpp0306864.1
FBgn0002938.1,FBtr0334835.1,FBpp0306863.1
FBgn0031904.1,FBtr0079469.1,FBpp0079093.1
FBgn0031905.1,FBtr0079438.1,FBpp0079066.1
FBgn0031906.1,FBtr0079468.1,FBpp0079092.1
FBgn0031906.1,FBtr0302588.1,FBpp0291744.1
FBgn0264888.1,FBtr0334837.1,
FBgn0031907.1,FBtr0302587.1,FBpp0291743.1
FBgn0031907.1,FBtr0345288.1,FBpp0311455.1
FBgn0031907.1,FBtr0079440.1,FBpp0079068.1
FBgn0031907.1,FBtr0079439.1,FBpp0079067.1
FBgn0031907.1,FBtr0334838.1,FBpp0306865.1
FBgn0031908.1,FBtr0079441.1,FBpp0079069.1
FBgn0031908.1,FBtr0332522.1,FBpp0304792.1
FBgn0031909.1,FBtr0079467.1,FBpp0079091.1
FBgn0031910.1,FBtr0079442.1,FBpp0079070.1
FBgn0028387.1,FBtr0079443.1,FBpp0079071.1
FBgn0028387.1,FBtr0332523.1,FBpp0304793.1
FBgn0028387.1,FBtr0308610.1,FBpp0300834.1
FBgn0264439.1,FBtr0332525.1,
FBgn0264439.1,FBtr0332524.1,
FBgn0262453.1,FBtr0304472.1,
FBgn0262453.1,FBtr0304473.1,
FBgn0262458.1,FBtr0304497.1,
FBgn0262458.1,FBtr0304498.1,
FBgn0031912.1,FBtr0079444.1,FBpp0079072.1
FBgn0031912.1,FBtr0332529.1,FBpp0304797.1
FBgn0031912.1,FBtr0332527.1,FBpp0304795.1
FBgn0031912.1,FBtr0332528.1,FBpp0304796.1
FBgn0031912.1,FBtr0332526.1,FBpp0304794.1
FBgn0031912.1,FBtr0079445.1,FBpp0079073.1
FBgn0031913.1,FBtr0079466.1,FBpp0079090.1
FBgn0031914.1,FBtr0079446.1,FBpp0079074.1
FBgn0031914.1,FBtr0332530.1,FBpp0304798.1
FBgn0031914.1,FBtr0301152.1,FBpp0290375.1
FBgn0031914.1,FBtr0332531.1,FBpp0304799.1
FBgn0031914.1,FBtr0079448.1,FBpp0079076.1
FBgn0031914.1,FBtr0079447.1,FBpp0079075.1
FBgn0031914.1,FBtr0344858.1,FBpp0311173.1
FBgn0025697.1,FBtr0346571.1,FBpp0312169.1
FBgn0025697.1,FBtr0079464.1,FBpp0079088.1
FBgn0041247.1,FBtr0079463.1,FBpp0079087.1
FBgn0045495.1,FBtr0079461.1,FBpp0089142.1
FBgn0045495.1,FBtr0079462.1,FBpp0089143.1
FBgn0045495.1,FBtr0079458.1,FBpp0079086.1
FBgn0045495.1,FBtr0079460.1,FBpp0089145.1
FBgn0045495.1,FBtr0079459.1,FBpp0089144.1
FBgn0031918.1,FBtr0079449.1,FBpp0079077.1
FBgn0031918.1,FBtr0330720.1,FBpp0303564.1
FBgn0260486.1,FBtr0330727.1,FBpp0303571.1
FBgn0260486.1,FBtr0330726.1,FBpp0303570.1
FBgn0260486.1,FBtr0330723.1,FBpp0303567.1
FBgn0260486.1,FBtr0330728.1,FBpp0303572.1
FBgn0260486.1,FBtr0330724.1,FBpp0303568.1
FBgn0260486.1,FBtr0330725.1,FBpp0303569.1
FBgn0260486.1,FBtr0330721.1,FBpp0303565.1
FBgn0260486.1,FBtr0332201.1,FBpp0304510.1
FBgn0260486.1,FBtr0330722.1,FBpp0303566.1
FBgn0031920.1,FBtr0079451.1,FBpp0079079.1
